18859, 01JUL2012 00:00, 13
18859, 01AUG2012 00:00, 13
18859, 01SEP2012 00:00, 14
25847, 01JAN2012 00:00, 0
25847, 01FEB2012 00:00, 2
25847, 01MAR2012 00:00, 5
25847, 01APR2012 00:00, 5
12754, 01JAN2012 00:00, 0
12754, 01FEB2012 00:00, 7
12754, 01MAR2012 00:00, 10
12754, 01APR2012 00:00, 14
12754, 01MAY2012 00:00, 21
12754, 01JUN2012 00:00, 27
12754, 01JUL2012 00:00, 27
12754, 01AUG2012 00:00, 28
12754, 01SEP2012 00:00, 32
35477, 01JAN2012 00:00, 0
35477, 01FEB2012 00:00, 6
35477, 01MAR2012 00:00, 9
35477, 01APR2012 00:00, 15
35477, 01MAY2012 00:00, 21
35477, 01JUN2012 00:00, 25
35477, 01JUL2012 00:00, 28
35477, 01AUG2012 00:00, 32
35477, 01SEP2012 00:00, 37
38011, 01JAN2012 00:00, 0
38011, 01FEB2012 00:00, 4
38011, 01MAR2012 00:00, 6
38011, 01APR2012 00:00, 15
38011, 01MAY2012 00:00, 20
38011, 01JUN2012 00:00, 24
38011, 01JUL2012 00:00, 24
38011, 01AUG2012 00:00, 27
38011, 01SEP2012 00:00, 29
21328, 01JAN2012 00:00, 0
21328, 01FEB2012 00:00, 3
21328, 01MAR2012 00:00, 5
21328, 01APR2012 00:00, 8
21328, 01MAY2012 00:00, 9
21328, 01JUN2012 00:00, 10
21328, 01JUL2012 00:00, 11
21328, 01AUG2012 00:00, 11
21328, 01SEP2012 00:00, 14
34442, 01JAN2012 00:00, 0
34442, 01FEB2012 00:00, 2
34442, 01MAR2012 00:00, 5
34442, 01APR2012 00:00, 10
34442, 01MAY2012 00:00, 18
34442, 01JUN2012 00:00, 24
34442, 01JUL2012 00:00, 29
34442, 01AUG2012 00:00, 30
34442, 01SEP2012 00:00, 33
22083, 01JAN2012 00:00, 0
22083, 01FEB2012 00:00, 3
22083, 01MAR2012 00:00, 8
22083, 01APR2012 00:00, 9
22083, 01MAY2012 00:00, 12
22083, 01JUN2012 00:00, 14
22083, 01JUL2012 00:00, 16
22083, 01AUG2012 00:00, 18
22083, 01SEP2012 00:00, 18
28021, 01JAN2012 00:00, 0
28021, 01FEB2012 00:00, 3
28021, 01MAR2012 00:00, 5
28021, 01APR2012 00:00, 8
28021, 01MAY2012 00:00, 12
28021, 01JUN2012 00:00, 14
28021, 01JUL2012 00:00, 14
28021, 01AUG2012 00:00, 14
28021, 01SEP2012 00:00, 15
34986, 01JAN2012 00:00, 0
34986, 01FEB2012 00:00, 3
34986, 01MAR2012 00:00, 7
34986, 01APR2012 00:00, 11
34986, 01MAY2012 00:00, 13
34986, 01JUN2012 00:00, 17
34986, 01JUL2012 00:00, 22
34986, 01AUG2012 00:00, 22
34986, 01SEP2012 00:00, 26
16148, 01JAN2012 00:00, 0
16148, 01FEB2012 00:00, 3
16148, 01MAR2012 00:00, 6
16148, 01APR2012 00:00, 6
16148, 01MAY2012 00:00, 10
16148, 01JUN2012 00:00, 11
16148, 01JUL2012 00:00, 12
16148, 01AUG2012 00:00, 12
16148, 01SEP2012 00:00, 12
37065, 01JAN2012 00:00, 0
37065, 01FEB2012 00:00, 2
37065, 01MAR2012 00:00, 6
37065, 01APR2012 00:00, 15
37065, 01MAY2012 00:00, 19
37065, 01JUN2012 00:00, 25
37065, 01JUL2012 00:00, 26
37065, 01AUG2012 00:00, 28
37065, 01SEP2012 00:00, 30
37067, 01MAR2012 00:00, 0
37067, 01APR2012 00:00, 1
37067, 01MAY2012 00:00, 4
37067, 01JUN2012 00:00, 7
37067, 01JUL2012 00:00, 7
37067, 01AUG2012 00:00, 7
37067, 01SEP2012 00:00, 7
38070, 01MAY2012 00:00, 0
38070, 01JUN2012 00:00, 2
38070, 01JUL2012 00:00, 2
38070, 01AUG2012 00:00, 2
38070, 01SEP2012 00:00, 4
15803, 01JAN2012 00:00, 0
15803, 01FEB2012 00:00, 3
15803, 01MAR2012 00:00, 3
15803, 01APR2012 00:00, 8
15803, 01MAY2012 00:00, 14
15803, 01JUN2012 00:00, 14
15803, 01JUL2012 00:00, 14
15803, 01AUG2012 00:00, 14
15803, 01SEP2012 00:00, 16
69045, 01JAN2012 00:00, 0
69045, 01FEB2012 00:00, 8
69045, 01MAR2012 00:00, 12
69045, 01APR2012 00:00, 19
69045, 01MAY2012 00:00, 24
69045, 01JUN2012 00:00, 28
69045, 01JUL2012 00:00, 28
69045, 01AUG2012 00:00, 31
69045, 01SEP2012 00:00, 37
35347, 01JAN2012 00:00, 0
35347, 01FEB2012 00:00, 4
35347, 01MAR2012 00:00, 6
35347, 01APR2012 00:00, 8
35347, 01MAY2012 00:00, 8
35347, 01JUN2012 00:00, 8
35347, 01JUL2012 00:00, 8
35347, 01AUG2012 00:00, 9
35347, 01SEP2012 00:00, 9
20948, 01JAN2012 00:00, 0
20948, 01FEB2012 00:00, 6
20948, 01MAR2012 00:00, 8
20948, 01APR2012 00:00, 13
20948, 01MAY2012 00:00, 20
20948, 01JUN2012 00:00, 26
20948, 01JUL2012 00:00, 28
20948, 01AUG2012 00:00, 30
