28641;ACQUAL;AL;18859680;Provavtalet slutar
28717;ACQUAL;AL;17690400;Provavtalet slutar
28782;ACQUAL;AL;17398080;Provavtalet slutar
28850;ACQUAL;AL;18819360;Provavtalet slutar
29057;ACQUAL;AL;17307360;Provavtalet slutar
29119;ACQUAL;AL;17709120;Provavtalet slutar
29191;ACQUAL;AL;17256960;Provavtalet slutar
29226;ACQUAL;AL;17205120;Provavtalet slutar
29228;ACQUAL;AL;18565920;Provavtalet slutar
29266;ACQUAL;AL;19078560;Provavtalet slutar
29285;ACQUAL;AL;18839520;Provavtalet slutar
29433;ACQUAL;AL;17498880;Provavtalet slutar
29530;ACQUAL;AL;17799840;Provavtalet slutar
29565;ACQUAL;AL;11458080;Provavtalet slutar
29572;ACQUAL;AL;17902080;Provavtalet slutar
29592;ACQUAL;AL;19153440;Provavtalet slutar
29603;ACQUAL;AL;9564480;Provavtalet slutar
29967;ACQUAL;AL;9564480;Provavtalet slutar
29968;ACQUAL;AL;18352800;Provavtalet slutar
29982;ACQUAL;AL;18306720;Provavtalet slutar
29993;ACQUAL;AL;17559360;Provavtalet slutar
29994;ACQUAL;AL;17559360;Provavtalet slutar
42233;ACQUAL;AL;18254880;Provavtalet slutar
84082;ACQUAL;AL;18565920;Provavtalet slutar
84083;ACQUAL;AL;18943200;Provavtalet slutar
84084;ACQUAL;AL;17529120;Provavtalet slutar
85139;ACQUAL;AL;17337600;Provavtalet slutar
85153;ACQUAL;AL;12201120;Provavtalet slutar
85185;ACQUAL;AL;17297280;Provavtalet slutar
85297;ACQUAL;AL;17205120;Provavtalet slutar
85372;ACQUAL;AL;18328320;Provavtalet slutar
85427;ACQUAL;AL;17498880;Provavtalet slutar
85715;ACQUAL;AL;18288000;Provavtalet slutar
85765;ACQUAL;AL;18878400;Provavtalet slutar
85767;ACQUAL;AL;17760960;Provavtalet slutar
85773;ACQUAL;AL;17337600;Provavtalet slutar
85775;ACQUAL;AL;17277120;Provavtalet slutar
85793;ACQUAL;AL;16168320;Provavtalet slutar
85880;ACQUAL;AL;17529120;Provavtalet slutar
85884;ACQUAL;AL;17307360;Provavtalet slutar
87926;ACQUAL;AL;18288000;Provavtalet slutar
87963;ACQUAL;AL;17256960;Provavtalet slutar
10955;POSITION;A2NX;18616320;Provavtalet slutar
14338;POSITION;A2NX;18858240;Provavtalet slutar
15000;POSITION;A2NX;18685440;Provavtalet slutar
18042;POSITION;A2NX;19455840;Provavtalet slutar
18760;POSITION;A2NX;19457280;Provavtalet slutar
20091;POSITION;A2NX;19391040;Provavtalet slutar
20202;POSITION;A2NX;18721440;Provavtalet slutar
20395;POSITION;A2NX;18898560;Provavtalet slutar
20414;POSITION;A2NX;19041120;Provavtalet slutar
20427;POSITION;A2NX;19041120;Provavtalet slutar
20467;POSITION;A2NX;18917280;Provavtalet slutar
20586;POSITION;A2NX;19041120;Provavtalet slutar
20588;POSITION;A2NX;19031040;Provavtalet slutar
20594;POSITION;A2NX;19432800;Provavtalet slutar
20602;POSITION;A2NX;19432800;Provavtalet slutar
21114;POSITION;A2NX;19031040;Provavtalet slutar
21124;POSITION;A2NX;19094400;Provavtalet slutar
21591;POSITION;A2NX;18596160;Provavtalet slutar
21597;POSITION;A2NX;18596160;Provavtalet slutar
21739;POSITION;A2NX;18586080;Provavtalet slutar
21782;POSITION;A2NX;18459360;Provavtalet slutar
21820;POSITION;A2NX;18676800;Provavtalet slutar
21894;POSITION;A2NX;18600480;Provavtalet slutar
21914;POSITION;A2NX;18630720;Provavtalet slutar
22079;POSITION;A2NX;18645120;Provavtalet slutar
22303;POSITION;A2NX;19094400;Provavtalet slutar
22590;POSITION;A2NX;19454400;Provavtalet slutar
23065;POSITION;A2NX;19432800;Provavtalet slutar
23172;POSITION;A2NX;18596160;Provavtalet slutar
23461;POSITION;A2NX;19455840;Provavtalet slutar
23663;POSITION;A2NX;18482400;Provavtalet slutar
23687;POSITION;A2NX;18616320;Provavtalet slutar
23787;POSITION;A2NX;19487520;Provavtalet slutar
23852;POSITION;A2NX;19391040;Provavtalet slutar
23869;POSITION;A2NX;19081440;Provavtalet slutar
24268;POSITION;A2NX;19487520;Provavtalet slutar
24271;POSITION;A2NX;18738720;Provavtalet slutar
24431;POSITION;A2NX;18596160;Provavtalet slutar
24547;POSITION;A2NX;18610560;Provavtalet slutar
24973;POSITION;A2NX;18586080;Provavtalet slutar
