35016;SingleFUnbid;*;Enligt listan 2023
38623;SingleFUnbid;*;Enligt listan 2023
34720;SingleFUnbid;*;Enligt listan 2023
39633;SingleFUnbid;*;Enligt listan 2023
86342;SingleFUnbid;*;Enligt listan 2023
37788;SingleFUnbid;*;Enligt listan 2023
30201;SingleFUnbid;*;Enligt listan 2023
35927;SingleFUnbid;*;Enligt listan 2023
38072;SingleFUnbid;*;Enligt listan 2023
93379;SingleFUnbid;*;Enligt listan 2023
68603;SingleFUnbid;*;Enligt listan 2023
38557;SingleFUnbid;*;Enligt listan 2023
35713;SingleFUnbid;*;Enligt listan 2023
35598;SingleFUnbid;*;Enligt listan 2023
39103;SingleFUnbid;*;Enligt listan 2023
17475;SingleFUnbid;*;Enligt listan 2023
37339;SingleFUnbid;*;Enligt listan 2023
34461;SingleFUnbid;*;Enligt listan 2023
86633;SingleFUnbid;*;Enligt listan 2023
35668;SingleFUnbid;*;Enligt listan 2023
62718;SingleFUnbid;*;Enligt listan 2023
39628;SingleFUnbid;*;Enligt listan 2023
39307;SingleFUnbid;*;Enligt listan 2023
86599;SingleFUnbid;*;Enligt listan 2023
38078;SingleFUnbid;*;Enligt listan 2023
30589;SingleFUnbid;*;Enligt listan 2023
39298;SingleFUnbid;*;Enligt listan 2023
39882;SingleFUnbid;*;Enligt listan 2023
37195;SingleFUnbid;*;Enligt listan 2023
91292;SingleFUnbid;*;Enligt listan 2023
68372;SingleFUnbid;*;Enligt listan 2023
38323;SingleFUnbid;*;Enligt listan 2023
34557;SingleFUnbid;*;Enligt listan 2023
32853;SingleFUnbid;*;Enligt listan 2023
62338;SingleFUnbid;*;Enligt listan 2023
38835;SingleFUnbid;*;Enligt listan 2023
35848;SingleFUnbid;*;Enligt listan 2023
37487;SingleFUnbid;*;Enligt listan 2023
37168;SingleFUnbid;*;Enligt listan 2023
38605;SingleFUnbid;*;Enligt listan 2023
34845;SingleFUnbid;*;Enligt listan 2023
38245;SingleFUnbid;*;Enligt listan 2023
39126;SingleFUnbid;*;Enligt listan 2023
39626;SingleFUnbid;*;Enligt listan 2023
35320;SingleFUnbid;*;Enligt listan 2023
86576;SingleFUnbid;*;Enligt listan 2023
86987;SingleFUnbid;*;Enligt listan 2023
39616;SingleFUnbid;*;Enligt listan 2023
30677;SingleFUnbid;*;Enligt listan 2023
65102;SingleFUnbid;*;Enligt listan 2023
33910;SingleFUnbid;*;Enligt listan 2023
38903;SingleFUnbid;*;Enligt listan 2023
39826;SingleFUnbid;*;Enligt listan 2023
38334;SingleFUnbid;*;Enligt listan 2023
31781;SingleFUnbid;*;Enligt listan 2023
39266;SingleFUnbid;*;Enligt listan 2023
38873;SingleFUnbid;*;Enligt listan 2023
32246;SingleFUnbid;*;Enligt listan 2023
36929;SingleFUnbid;*;Enligt listan 2023
34296;SingleFUnbid;*;Enligt listan 2023
38052;SingleFUnbid;*;Enligt listan 2023
39669;SingleFUnbid;*;Enligt listan 2023
30388;SingleFUnbid;*;Enligt listan 2023
37694;SingleFUnbid;*;Enligt listan 2023
37087;SingleFUnbid;*;Enligt listan 2023
34580;SingleFUnbid;*;Enligt listan 2023
86624;SingleFUnbid;*;Enligt listan 2023
