21770;SAS;12466080;9000
26759;SAS;12466080;9000
27923;SAS;12466080;9000
27963;SAS;12466080;9000
27324;SAS;14391360;9000
21124;SAS;15112800;607
85773;SAS;15112800;623
23300;SAS;15112800;673
29461;SAS;15996960;9000
24431;SAS;17837280;3
24398;SAS;17837280;4
24395;SAS;17837280;5
24933;SAS;17837280;7
24971;SAS;17837280;8
24973;SAS;17837280;9
24987;SAS;17837280;10
25202;SAS;17837280;11
25351;SAS;17837280;12
24950;SAS;17837280;15
25613;SAS;17837280;16
24982;SAS;17837280;18
25916;SAS;17837280;19
25901;SAS;17837280;20
11642;SAS;17837280;22
25926;SAS;17837280;23
25458;SAS;17837280;24
27649;SAS;17837280;25
21462;SAS;17837280;27
26568;SAS;17837280;28
21597;SAS;17837280;29
21591;SAS;17837280;30
21739;SAS;17837280;31
11880;SAS;17837280;32
21713;SAS;17837280;33
21785;SAS;17837280;34
21875;SAS;17837280;35
21782;SAS;17837280;36
21786;SAS;17837280;37
21880;SAS;17837280;38
20091;SAS;17837280;39
21894;SAS;17837280;40
22760;SAS;17837280;42
23172;SAS;17837280;43
37444;SAS;17837280;44
37486;SAS;17837280;45
17759;SAS;17837280;46
23252;SAS;17837280;47
23621;SAS;17837280;48
23656;SAS;17837280;49
20913;SAS;17837280;50
23465;SAS;17837280;51
10293;SAS;17837280;52
25949;SAS;17837280;53
10585;SAS;17837280;54
26075;SAS;17837280;55
26194;SAS;17837280;56
27646;SAS;17837280;60
27704;SAS;17837280;61
27630;SAS;17837280;63
26081;SAS;17837280;64
27691;SAS;17837280;65
10174;SAS;17837280;66
16897;SAS;17837280;67
15662;SAS;17837280;68
28140;SAS;17837280;69
23718;SAS;17837280;70
28148;SAS;17837280;71
28146;SAS;17837280;72
28305;SAS;17837280;74
28306;SAS;17837280;75
28319;SAS;17837280;76
28323;SAS;17837280;77
28326;SAS;17837280;78
28338;SAS;17837280;79
21299;SAS;17837280;80
28401;SAS;17837280;81
28414;SAS;17837280;82
85124;SAS;17837280;83
85126;SAS;17837280;84
28845;SAS;17837280;85
28859;SAS;17837280;86
28862;SAS;17837280;87
28864;SAS;17837280;88
28782;SAS;17837280;89
25463;SAS;17837280;90
29176;SAS;17837280;91
27527;SAS;17837280;92
29359;SAS;17837280;93
29441;SAS;17837280;94
27682;SAS;17837280;96
27683;SAS;17837280;97
27806;SAS;17837280;98
85137;SAS;17837280;99
38039;SAS;17837280;101
28863;SAS;17837280;102
29428;SAS;17837280;103
21747;SAS;17837280;104
29534;SAS;17837280;105
29537;SAS;17837280;106
85191;SAS;17837280;107
13364;SAS;17837280;108
10955;SAS;17837280;109
23663;SAS;17837280;110
17846;SAS;17837280;111
17844;SAS;17837280;112
17859;SAS;17837280;113
10618;SAS;17837280;114
10949;SAS;17837280;115
27798;SAS;17837280;116
11451;SAS;17837280;117
12518;SAS;17837280;118
85155;SAS;17837280;119
24144;SAS;17837280;139
24607;SAS;17837280;151
85193;SAS;18626400;173
85189;SAS;18626400;175
85185;SAS;18626400;177
18722;SAS;18626400;181
29565;SAS;18626400;183
29415;SAS;18626400;185
20935;SAS;18626400;187
29568;SAS;18626400;189
85224;SAS;18626400;199
85256;SAS;18626400;201
85297;SAS;18626400;205
85346;SAS;18626400;209
85371;SAS;18626400;211
85372;SAS;18626400;215
85374;SAS;18626400;217
85379;SAS;18626400;219
85409;SAS;18626400;221
85433;SAS;18626400;225
85428;SAS;18626400;227
85434;SAS;18626400;231
85427;SAS;18626400;235
