39233;SAS;1;enl. HR OSLIZ 15dec2022
35021;SAS;2;enl. HR OSLIZ 15dec2022
39846;SAS;3;enl. HR OSLIZ 15dec2022
37045;SAS;4;enl. HR OSLIZ 15dec2022
37888;SAS;5;enl. HR OSLIZ 15dec2022
39165;SAS;6;enl. HR OSLIZ 15dec2022
34890;SAS;7;enl. HR OSLIZ 15dec2022
34429;SAS;8;enl. HR OSLIZ 15dec2022
35688;SAS;9;enl. HR OSLIZ 15dec2022
36076;SAS;10;enl. HR OSLIZ 15dec2022
34614;SAS;11;enl. HR OSLIZ 15dec2022
34511;SAS;12;enl. HR OSLIZ 15dec2022
67823;SAS;13;enl. HR OSLIZ 15dec2022
36115;SAS;14;enl. HR OSLIZ 15dec2022
39003;SAS;15;enl. HR OSLIZ 15dec2022
39015;SAS;16;enl. HR OSLIZ 15dec2022
39010;SAS;17;enl. HR OSLIZ 15dec2022
37710;SAS;18;enl. HR OSLIZ 15dec2022
34557;SAS;19;enl. HR OSLIZ 15dec2022
68372;SAS;20;enl. HR OSLIZ 15dec2022
35888;SAS;21;enl. HR OSLIZ 15dec2022
34371;SAS;22;enl. HR OSLIZ 15dec2022
35320;SAS;23;enl. HR OSLIZ 15dec2022
34871;SAS;24;enl. HR OSLIZ 15dec2022
37301;SAS;25;enl. HR OSLIZ 15dec2022
67752;SAS;26;enl. HR OSLIZ 15dec2022
37320;SAS;27;enl. HR OSLIZ 15dec2022
15857;SAS;28;enl. HR OSLIZ 15dec2022
37322;SAS;29;enl. HR OSLIZ 15dec2022
37327;SAS;30;enl. HR OSLIZ 15dec2022
37342;SAS;31;enl. HR OSLIZ 15dec2022
35501;SAS;32;enl. HR OSLIZ 15dec2022
65038;SAS;33;enl. HR OSLIZ 15dec2022
35742;SAS;34;enl. HR OSLIZ 15dec2022
37339;SAS;35;enl. HR OSLIZ 15dec2022
37360;SAS;36;enl. HR OSLIZ 15dec2022
37350;SAS;37;enl. HR OSLIZ 15dec2022
34498;SAS;38;enl. HR OSLIZ 15dec2022
36055;SAS;39;enl. HR OSLIZ 15dec2022
34630;SAS;40;enl. HR OSLIZ 15dec2022
34407;SAS;41;enl. HR OSLIZ 15dec2022
34231;SAS;42;enl. HR OSLIZ 15dec2022
65734;SAS;43;enl. HR OSLIZ 15dec2022
37487;SAS;44;enl. HR OSLIZ 15dec2022
37451;SAS;45;enl. HR OSLIZ 15dec2022
37455;SAS;46;enl. HR OSLIZ 15dec2022
39633;SAS;47;enl. HR OSLIZ 15dec2022
37526;SAS;48;enl. HR OSLIZ 15dec2022
37529;SAS;49;enl. HR OSLIZ 15dec2022
37289;SAS;50;enl. HR OSLIZ 15dec2022
68819;SAS;51;enl. HR OSLIZ 15dec2022
34757;SAS;52;enl. HR OSLIZ 15dec2022
37471;SAS;53;enl. HR OSLIZ 15dec2022
37480;SAS;54;enl. HR OSLIZ 15dec2022
35900;SAS;55;enl. HR OSLIZ 15dec2022
34355;SAS;56;enl. HR OSLIZ 15dec2022
34858;SAS;57;enl. HR OSLIZ 15dec2022
37460;SAS;58;enl. HR OSLIZ 15dec2022
37496;SAS;59;enl. HR OSLIZ 15dec2022
37490;SAS;60;enl. HR OSLIZ 15dec2022
37492;SAS;61;enl. HR OSLIZ 15dec2022
34586;SAS;62;enl. HR OSLIZ 15dec2022
35903;SAS;63;enl. HR OSLIZ 15dec2022
34746;SAS;64;enl. HR OSLIZ 15dec2022
36047;SAS;65;enl. HR OSLIZ 15dec2022
37543;SAS;66;enl. HR OSLIZ 15dec2022
34820;SAS;67;enl. HR OSLIZ 15dec2022
35811;SAS;68;enl. HR OSLIZ 15dec2022
35226;SAS;69;enl. HR OSLIZ 15dec2022
37368;SAS;70;enl. HR OSLIZ 15dec2022
37575;SAS;71;enl. HR OSLIZ 15dec2022
35675;SAS;72;enl. HR OSLIZ 15dec2022
34629;SAS;73;enl. HR OSLIZ 15dec2022
37563;SAS;74;enl. HR OSLIZ 15dec2022
37568;SAS;75;enl. HR OSLIZ 15dec2022
