93935;SAS;19159200;26295840;9999
93860;SAS;19159200;26295840;9999
93904;SAS;19159200;26295840;9999
93897;SAS;19159200;26295840;9999
93910;SAS;19159200;26295840;9999
93708;SAS;19159200;26295840;9999
93927;SAS;19159200;26295840;9999
95147;SAS;19501920;26295840;9999
95204;SAS;19501920;26295840;9999
95299;SAS;19532160;26295840;9999
95300;SAS;19532160;26295840;9999
95301;SAS;19532160;26295840;9999
95302;SAS;19532160;26295840;9999
95304;SAS;19532160;26295840;9999
94534;SAS;19391040;26295840;9999
94535;SAS;19391040;26295840;9999
94622;SAS;19391040;26295840;9999
94626;SAS;19391040;26295840;9999
94627;SAS;19391040;26295840;9999
95316;SAS;19542240;26295840;9999
95318;SAS;19542240;26295840;9999
95335;SAS;19542240;26295840;9999
95475;SAS;19542240;26295840;9999
95476;SAS;19542240;26295840;9999
95502;SAS;19542240;26295840;9999
95503;SAS;19542240;26295840;9999
75668;SAS;19542240;26295840;9999
95253;SAS;19532160;26295840;9999
93739;SAS;19128960;26295840;9999
95015;SAS;19501920;26295840;9999
95087;SAS;19501920;26295840;9999
44149;SAS;19128960;26295840;9999
75990;SAS;19128960;26295840;9999
75998;SAS;19128960;26295840;9999
79776;SAS;19128960;26295840;9999
95344;SAS;19532160;26295840;9999
95367;SAS;19532160;26295840;9999
95425;SAS;19532160;26295840;9999
95426;SAS;19532160;26295840;9999
95208;SAS;19501920;26295840;9999
95427;SAS;19532160;26295840;9999
95501;SAS;19532160;26295840;9999
95508;SAS;19532160;26295840;9999
94490;SAS;19416960;26295840;9999
94616;SAS;19416960;26295840;9999
94619;SAS;19416960;26295840;9999
94625;SAS;19416960;26295840;9999
94666;SAS;19416960;26295840;9999
94495;SAS;19366560;26295840;9999
94525;SAS;19366560;26295840;9999
41351;SAS;19532160;26295840;9999
85711;SAS;19542240;26295840;9999
